center_latitude,center_longitude,cluster_label
45.607938,10.801089,0
41.911037,-103.809823,2
50.70577,-0.836192,0
45.486716,3.08256,0
51.857393,-4.329288,0
40.26965,-78.135481,2
51.298332,23.075677,0
35.687947,139.772512,1
49.320103,15.561097,0
32.774688,35.267078,1
52.481984,-1.895021,0
5.384904,-39.130051,3
32.810564,1.06853,0
37.17095,-109.988373,2
50.570672,8.26629,0
45.102933,12.161396,0
2.247405,20.601336,3
56.795841,-4.482874,0
48.878404,2.344521,0
42.32722,-90.759225,2
46.799627,1.465595,0
37.064573,-76.541629,2
52.778588,-2.03389,0
40.847741,14.233424,0
40.86682,-72.975473,2
45.070766,12.084633,0
6.125826,81.570813,1
27.543916,36.26758,1
51.877566,-106.502673,2
51.545032,-0.103094,0
44.564168,15.032818,0
36.217261,24.552028,0
41.311016,13.0457,0
32.178482,-88.60294,2
43.601229,1.449126,0
38.82975,-77.472552,2
51.506906,-0.112835,0
42.983997,-70.61323,2
50.790912,5.027268,0
46.771892,8.171581,0
39.803377,33.468708,0
49.745209,3.072049,0
33.803826,-118.071912,2
48.074656,0.382709,0
35.13976,79.618431,1
52.208856,10.952575,0
45.425052,34.757834,0
39.128235,22.964485,0
32.604702,-86.731047,2
20.022909,-75.8283,2
57.32891,39.418099,0
47.597335,0.621996,0
6.001698,-1.050696,3
48.853487,6.433762,0
40.277045,-80.205678,2
15.434313,12.702923,3
1.284391,103.85209,1
44.009967,-74.270796,2
51.482609,-0.110377,0
42.895194,-78.932508,2
14.136126,-9.584811,3
41.794944,23.566823,0
54.510743,9.389126,0
23.132334,-82.35445,2
39.437996,61.014828,1
47.915145,2.380495,0
-33.098512,151.276759,4
57.037798,32.67156,0
11.647029,90.937222,1
38.131203,127.435978,1
39.143488,-78.202249,2
16.798508,-36.550606,3
37.064517,15.242771,0
43.266729,-2.938713,0
-32.844603,26.555648,3
67.176495,-24.355363,0
46.803586,-0.782514,0
38.406624,-78.030445,2
-31.526491,152.721662,4
51.514224,-0.094197,0
40.662657,1.309807,0
-3.059264,133.347997,4
49.98261,8.255698,0
44.751331,-89.967823,2
56.081761,40.977133,0
41.425507,-86.407652,2
51.588584,-2.99636,0
23.07545,113.232068,1
54.025538,-2.225448,0
30.348807,-99.127824,2
45.434915,12.350477,0
32.747148,-16.889032,0
25.779314,-102.972093,2
49.922858,10.100551,0
51.266253,19.834154,0
39.979561,-1.025569,0
51.507116,-0.099057,0
46.958616,17.493709,0
52.150294,-1.477047,0
41.541324,-77.908081,2
35.103739,-109.959761,2
52.080405,9.413504,0
51.329518,-1.971685,0
54.674212,-2.716772,0
30.227216,-88.023144,2
14.065495,13.82167,3
-21.348337,165.823391,4
22.155784,84.156138,1
59.926362,10.743888,0
52.246044,21.046085,0
44.631085,21.50954,0
32.180087,35.275435,1
52.882298,-7.462773,0
56.093392,-3.945597,0
31.311849,77.636081,1
51.882272,-4.52646,0
44.632342,33.548404,0
-11.935301,-67.189933,3
41.808559,12.351916,0
59.94176,30.314168,0
55.529461,9.718914,0
53.188956,-2.896926,0
51.751897,-0.342442,0
45.503003,-73.565751,2
53.98906,60.981682,0
61.985864,48.212953,0
51.857971,-8.344783,0
-41.108828,172.458369,4
56.706818,-4.669098,0
53.496005,13.199053,0
50.369438,-5.052144,0
-5.484324,13.594934,3
37.672021,-77.308015,2
40.398508,-79.861547,2
64.957859,-18.746112,0
41.095334,29.032973,0
38.023962,23.792601,0
39.124137,6.962553,0
36.492983,-95.136586,2
50.581077,5.080853,0
52.40269,19.187212,0
40.344702,21.962499,0
46.687577,2.602532,0
38.417399,32.905184,0
40.725575,-74.040521,2
8.026985,79.574049,1
3.134143,-60.992289,3
50.370627,5.809981,0
43.316185,-71.532434,2
44.061162,-69.791436,2
34.331157,-73.549979,2
5.333302,36.281396,3
53.023998,-7.333993,0
51.752941,-1.255389,0
51.833649,-0.266808,0
42.626938,-81.597267,2
43.328773,-123.875665,2
53.760832,-2.698462,0
-40.814624,172.562579,4
-24.927563,133.92019,4
10.077187,18.758808,3
51.529828,-0.106982,0
35.727194,89.147962,1
51.600728,0.85229,0
51.964467,5.216855,0
47.048566,20.375185,0
28.478611,80.578168,1
-30.950509,24.506537,3
51.925238,0.050905,0
39.64106,-80.564409,2
31.768776,-81.280991,2
34.936993,9.468022,0
58.955284,-3.01902,0
45.666603,12.246235,0
46.976163,8.124892,0
55.944648,-3.189884,0
52.257226,1.054521,0
40.615589,-6.780096,0
24.492522,70.077784,1
56.484265,-3.42407,0
58.028173,15.574612,0
54.009781,-1.870733,0
40.79371,-73.952961,2
43.116929,6.159032,0
-38.133791,176.254881,4
44.312938,-78.33419,2
50.514161,10.731451,0
46.911485,1.361901,0
25.94064,-97.488719,2
31.776016,35.233345,1
37.90408,136.90296,1
14.62032,-87.574448,2
39.591659,22.808457,0
42.038091,-2.822333,0
-27.585712,29.877419,3
53.074659,-1.600273,0
55.828505,-4.58975,0
-4.682383,14.967794,3
25.246796,118.888309,1
42.928826,-72.277825,2
46.63563,19.165896,0
29.949227,69.443046,1
40.090404,-3.568068,0
51.147303,0.155613,0
55.971918,-3.187423,0
51.405447,0.840071,0
43.027015,-88.66232,2
43.661829,-79.353241,2
47.81615,3.551695,0
41.895136,12.501809,0
55.972851,-3.191487,0
41.878398,-90.304966,2
52.338917,-7.838714,0
46.748527,1.539168,0
70.345217,-108.7638,2
54.828787,27.109615,0
-33.994841,151.1905,4
49.232387,14.973439,0
43.953416,-72.175289,2
40.706987,-74.01055,2
52.935451,-3.702097,0
48.649479,-2.017441,0
53.496539,-7.696105,0
43.756517,10.452216,0
17.786297,38.773402,1
51.436918,6.765073,0
-33.38819,18.877704,3
43.438885,0.839788,0
19.076479,-98.982179,2
41.148111,-8.581592,0
44.59559,33.58666,0
51.606856,0.615597,0
48.496841,4.157105,0
55.94868,-3.199782,0
2.774369,16.457149,3
37.153154,-119.460621,2
19.573512,-98.978808,2
54.175046,-7.235906,0
65.112463,-169.076155,2
44.563416,33.64946,0
52.150401,20.061618,0
44.033585,-77.150178,2
43.003542,-2.705137,0
34.556562,-111.991916,2
53.343993,-6.269785,0
51.63701,14.084741,0
43.379451,24.580185,0
51.456824,-2.626329,0
41.551436,-73.035643,2
38.487121,-77.843158,2
52.370546,4.8976,0
48.865155,2.338071,0
43.324024,-71.503584,2
40.702448,-73.943173,2
49.017263,11.462755,0
45.800819,34.635644,0
52.150024,-1.739488,0
47.320539,5.039345,0
-19.235536,22.375667,3
51.514507,-0.126446,0
42.383689,-71.053947,2
50.677492,4.575239,0
6.491526,6.426096,3
-45.485296,168.09034,4
55.516806,-4.533927,0
53.749962,-0.330674,0
47.490406,44.974627,0
38.674154,-78.679823,2
36.961984,38.310007,1
35.689511,53.351282,1
51.213791,12.184755,0
27.821877,32.185326,1
-33.923236,18.423985,3
51.902383,-2.071113,0
41.740799,-71.756966,2
8.898821,32.222493,3
18.960849,96.134133,1
43.667258,-79.393021,2
51.925115,-4.167629,0
34.181019,-84.81999,2
53.557083,24.8835,0
22.531628,-73.954652,2
-0.007522,32.727792,3
49.323248,5.293768,0
19.670429,79.273606,1
30.394175,31.605001,1
52.23587,-0.899603,0
65.760933,2.798614,0
46.813797,8.313023,0
-33.966546,18.404936,3
-6.532424,9.394733,3
37.727576,19.99504,0
35.789118,-110.1458,2
49.888292,14.326083,0
56.773544,-4.454309,0
51.821233,-0.775157,0
51.514152,-0.092133,0
52.34165,-0.42675,0
51.054412,3.726231,0
51.970888,4.529633,0
44.554315,0.167789,0
42.326766,47.025916,0
37.953308,23.686655,0
-32.787395,22.36553,3
51.170631,-0.900947,0
39.951064,-75.157913,2
37.212347,-76.503365,2
51.420582,0.690969,0
64.088536,16.259837,0
35.915757,-82.799335,2
38.773393,86.942241,1
13.027895,-88.345661,2
15.370933,5.241601,3
51.482865,-0.218975,0
19.431946,-99.146596,2
48.766896,2.621812,0
53.864645,-2.655511,0
41.008979,28.972424,0
29.973087,33.735457,1
41.324017,-86.126713,2
9.796826,19.583601,3
53.28465,-4.364978,0
44.594751,33.5603,0
57.018104,-4.996273,0
32.963014,46.592738,1
41.175174,-76.236113,2
38.066927,25.427699,0
39.561635,-76.066375,2
61.791059,32.037718,0
50.716663,12.490964,0
40.61558,-74.042579,2
53.406728,-8.040145,0
40.886209,-79.502086,2
11.69503,-85.475401,2
8.529539,-3.901849,3
75.588691,105.832666,0
14.95802,-88.819008,2
62.642783,15.547816,0
38.71031,24.59826,0
39.946619,-3.192562,0
40.598323,-91.558046,2
56.071549,-3.460406,0
-40.858365,172.712488,4
43.96013,-70.484981,2
43.079132,-79.069055,2
-16.779551,34.30549,3
51.512281,-0.09,0
32.887165,35.586282,1
17.483405,-92.04586,2
36.610986,-84.909601,2
52.6001,1.726314,0
39.1316,-94.689774,2
52.451653,-3.646252,0
-38.01324,141.552521,4
40.729785,-73.99467,2
48.219714,16.345605,0
53.224747,-2.485646,0
48.858553,2.334363,0
17.442181,-1.142569,3
52.070097,-2.334044,0
54.717766,40.381535,0
32.044045,34.760457,1
50.505818,4.787117,0
42.823391,-75.988725,2
38.040345,24.124262,0
32.729314,-79.888772,2
52.093433,4.30329,0
41.075549,-73.726349,2
51.049683,3.721436,0
43.114125,-74.848675,2
51.455647,-2.601775,0
52.9874,-2.413329,0
51.452559,-2.592156,0
38.377796,23.083541,0
47.482932,19.05987,0
41.283569,-101.668367,2
20.702946,82.55807,1
39.05812,-82.430293,2
45.542998,3.249834,0
52.958515,-2.14191,0
44.026855,-0.759258,0
-1.530525,120.618877,4
32.340019,57.025713,1
43.628652,-0.961504,0
36.708525,-96.569609,2
55.750424,37.624307,0
13.443949,-6.275996,3
49.993061,2.291197,0
51.778122,0.614514,0
40.122901,8.98537,0
51.647792,-3.824366,0
41.88823,12.486911,0
57.151532,-5.348703,0
40.345173,1.46881,0
39.621854,-75.781876,2
37.955308,-122.242756,2
52.516126,13.748499,0
52.023356,-9.607974,0
30.042251,-88.609084,2
46.461418,22.558429,0
-11.762193,151.819417,4
48.382076,-97.02678,2
9.427817,-3.28041,3
48.863333,2.337078,0
51.697008,-2.677018,0
45.463611,-1.034847,0
31.775726,35.232025,1
41.164976,12.683619,0
54.362913,-2.992829,0
51.85508,-4.932157,0
33.862526,133.07455,1
51.537306,-0.347795,0
44.555441,33.496577,0
53.510527,-8.001269,0
54.791387,10.39057,0
5.880058,21.968695,3
36.150298,-5.386645,0
46.66116,5.613181,0
44.574701,-85.213743,2
48.863357,2.337111,0
31.655793,35.70135,1
39.817333,-76.234541,2
18.933266,72.836057,1
70.949041,149.34309,1
20.29453,82.831325,1
31.77852,35.22971,1
62.309339,18.434799,0
49.709438,9.762089,0
11.008158,77.708412,1
51.527414,-0.107031,0
52.516583,0.501291,0
54.868459,-4.312176,0
50.376615,-4.688253,0
44.378226,-68.880537,2
-1.810965,-74.870131,3
56.457633,-5.990515,0
-12.357795,84.835725,4
45.938686,4.486127,0
41.091439,29.04988,0
45.540478,-110.909176,2
20.278923,68.242622,1
38.139974,23.636956,0
49.371689,0.985061,0
14.787995,-14.214905,3
54.89475,-2.938521,0
58.326071,11.180592,0
14.185886,31.583685,1
46.581134,-71.413079,2
32.43048,35.490824,1
39.20193,-9.304723,0
50.634416,-2.380091,0
-35.363379,150.165805,4
50.851653,0.470256,0
18.511861,73.847028,1
48.678951,10.62481,0
36.55522,127.231059,1
48.336286,-55.284725,2
46.771905,1.461131,0
45.742149,13.020832,0
41.722044,-72.647872,2
32.759843,-79.858682,2
39.166042,-77.137185,2
54.956098,-2.689044,0
55.859415,-4.247693,0
54.734096,-1.654481,0
49.767556,0.368694,0
19.432115,-99.146811,2
51.751141,-1.258543,0
17.955359,-98.26342,2
44.591857,33.581516,0
52.745633,-2.357825,0
24.698436,84.98015,1
20.195749,80.59932,1
42.126052,-71.926072,2
51.169568,17.599495,0
50.942898,2.613872,0
42.775492,-71.555605,2
52.305121,6.44034,0
52.095672,-2.710155,0
34.023718,-6.824319,0
51.032689,1.189676,0
54.094314,-0.201718,0
25.116033,117.021241,1
2.327885,31.327503,3
54.541252,39.21636,0
-30.881268,29.510947,3
21.297037,80.847079,1
44.494777,11.34397,0
19.412854,-99.148994,2
43.863122,18.643531,0
51.900894,-2.074451,0
57.009882,-3.840419,0
42.666416,-89.069016,2
-4.050496,34.655061,3
41.607543,-72.421786,2
22.927661,76.310448,1
51.65388,-0.082782,0
9.263337,113.858254,1
41.240422,-76.08557,2
51.476684,-3.172833,0
42.565043,4.665443,0
57.003823,-4.319127,0
44.547306,3.489811,0
44.76663,16.273073,0
51.643606,-1.164402,0
53.363731,15.006016,0
34.935243,-85.265285,2
51.670229,16.086241,0
41.014671,28.955028,0
56.067304,-4.599021,0
51.222345,19.469901,0
42.729258,-76.462788,2
50.72898,-2.583478,0
52.253763,18.453788,0
36.954402,126.27513,1
14.643573,-61.015319,2
38.801414,-77.543972,2
41.974397,-87.716234,2
11.173756,-60.740739,2
19.256432,-98.87786,2
37.131976,4.020928,0
42.247884,-84.58061,2
-25.146721,24.841889,3
30.210043,-90.28455,2
53.849555,-8.991914,0
12.56817,37.893737,1
45.746214,20.077144,0
59.715304,-2.230392,0
48.77646,7.02178,0
51.744066,-1.098493,0
-27.522294,26.171486,3
45.47954,-73.672853,2
31.511901,-9.770498,0
49.942336,-97.181625,2
7.577624,39.549664,3
54.999456,-3.057753,0
46.471469,3.166806,0
50.972018,-0.078213,0
56.150075,11.545832,0
27.20427,77.48119,1
25.71506,32.625214,1
49.315207,11.724992,0
-36.136356,144.745136,4
44.585885,33.543956,0
46.000239,8.641446,0
52.288848,0.413371,0
50.622977,-1.313551,0
-18.350126,-59.617383,3
39.901623,22.514509,0
40.512848,-4.650174,0
44.570052,8.00976,0
3.113316,-77.883643,3
44.251354,-81.674905,2
51.501952,-0.124892,0
40.850588,28.005504,0
51.561367,-0.245267,0
32.481314,35.322926,1
72.039545,-88.402936,2
39.918553,-91.524737,2
56.015605,-4.023287,0
-13.315299,25.035192,3
42.193838,-72.642779,2
1.147014,104.038575,1
7.513677,-20.670894,3
40.206332,-111.756737,2
51.540363,-0.10033,0
32.053738,73.962181,1
55.824752,-5.110182,0
53.784645,-2.98524,0
30.196955,71.471508,1
14.582238,120.516415,1
59.944303,30.310694,0
28.448027,32.260642,1
29.045443,33.075243,1
6.109493,-0.988863,3
37.084163,15.255605,0
32.746846,-80.394731,2
51.342841,9.084778,0
28.097654,78.760213,1
43.566819,15.947431,0
36.211412,135.730613,1
47.017647,2.467321,0
2.338759,18.980581,3
40.572697,-6.89601,0
52.512258,-2.339736,0
58.980574,-2.922156,0
-21.669178,26.078997,3
8.031559,14.237006,3
-23.00938,144.965116,4
55.949675,-3.186194,0
18.923474,34.555419,1
40.712592,-74.006142,2
36.707218,2.975518,0
51.513808,-0.098467,0
3.747879,9.717526,3
52.899198,-1.989502,0
56.855303,-4.302339,0
52.694492,-1.926974,0
49.438806,1.09235,0
19.491501,81.006157,1
42.856781,-2.688436,0
41.767205,-71.801918,2
44.735898,-72.135898,2
51.552795,-1.130207,0
54.135882,-1.52135,0
52.27465,-8.237363,0
62.795876,16.028433,0
-16.874082,49.86634,3
50.435635,-4.061639,0
53.50049,-7.9337,0
43.609328,1.454024,0
45.158328,-73.930201,2
43.660731,-79.39625,2
49.655656,5.187522,0
36.602852,32.679737,0
0.397419,19.881328,3
