,status,north_east_latitude,north_east_longitude,center_latitude,center_longitude,south_west_latitude,south_west_longitude,date_time,date,title,georeferencer_id,Title of Map,envelope,collection,thumbnail,num_gcps,rms_error,marc034_lon_west_dd,marc034_lon_east_dd,marc034_lat_north_dd,marc034_lat_south_dd,id
0,georeferenced,45.671649,10.942331,45.607938,10.801089,45.544228,10.659847,2014-07-09 10:50:00,2014-07-09,France militaire histoire des armees francaises de terre et de mer de 1792 a 1833 ouvrage redige par une societe de militaires et de gens de lettres dapres les bulletins des armees le moniteur les documents officiels revu et publie par a h with illustrations,xg7QoKO3LM0RgX6nsnfVcB/201407091050-g5h7IO,Bataille de rivoli,"POLYGON((10.942275 45.671649, 10.659847 45.671306, 10.659904 45.544228, 10.942331 45.544570))",flickr,http://lh4.ggpht.com/pXhX3WV4SAYAroVhkltQg_pXvubs6u1u5sBzzqwGSg60ZlVJxKxPo25cwVIhrmSZFT2iTAq6c24Y8G8hrm_pDJ-2K9y7,10,0.006442388,10.659722222222223,10.942222222222222,45.671388888888885,45.54416666666666,11008751146
1,georeferenced,77.760519,-58.313221,41.911037,-103.809823,6.061554,-149.306424,2014-07-28 21:31:00,2014-07-28,New canadian geography specially adapted for use in public and high schools,QluZVelOnh4iM3rLWjKHn2/201407282131-eOxKNu,Relief map of north america,"POLYGON((-143.846319 77.760519, -149.306424 7.296360, -63.773326 6.061554, -58.313221 76.525713))",flickr,http://lh6.ggpht.com/G5klfJm0QVsyPvhq9g0uIcv-GDmFKBCupbHfBVYdjBWDmAIzaL8cybrUYS29Wun4I6J3qGdl84fcu9G_i5T-EbxuPYY,33,5.716932225,149.3063888888889,58.31305555555555,77.76027777777777,6.061388888888889,11249985415
2,georeferenced,50.785701,-0.61725,50.70577,-0.836192,50.625839,-1.055134,2014-07-09 10:54:00,2014-07-09,The pilots handbook for the english channel containing concise directions for entering and navigating the channel illustrated by plates,pPwOOgS89QFGKPW4AIvnkm/201407091054-EcWUu6,The owers,"POLYGON((-1.051916 50.628133, -0.617250 50.625839, -0.620467 50.783408, -1.055134 50.785701))",flickr,http://lh6.ggpht.com/l2Gl7I8g30Datk9B_TESpDUMl5RN3bDRmwo-3CRj2AEwT-mp8zmL-qTi4AZK05FqYMux9heXuqt_HwmkW5vz4FzhByU,7,0.000592876,1.055,0.6172222222222222,50.785555555555554,50.62583333333333,11068029423
3,georeferenced,46.436533,4.184588,45.486716,3.08256,44.536899,1.980531,2014-07-09 10:10:00,2014-07-09,Lauvergne illustrations de a montader,XWy3UGICrBZ88ZfwcYcr1O/201407091010-HG26NI,Map of uvergne in france,"POLYGON((1.995410 46.436533, 1.980531 44.539304, 4.169709 44.536899, 4.184588 46.434128))",flickr,http://lh4.ggpht.com/Kx_QA_7W2n92QRc5ifpsVjv7IgzJJFyjvKdoqaYxLhQJyW3YOt5mBLFeJoTeUBv1LakSoh3RoiT0aY3e47UU4V3wS7ia,19,0.008719698,1.9802777777777778,4.184444444444445,46.436388888888885,44.53666666666666,11235698455
4,georeferenced,51.889528,-4.250527,51.857393,-4.329288,51.825258,-4.40805,2014-07-10 12:55:00,2014-07-10,Carmarthen and its neighbourhood notes topographical and historical,EBPBpKo02y4wmszD6c4F0k/201407101255-0iC2Mb,Borough of carmarthen,"POLYGON((-4.255249 51.889528, -4.408050 51.885337, -4.403328 51.825258, -4.250527 51.829449))",flickr,http://lh3.ggpht.com/kTk3QpWbg0w0d9a-i8ALn0Sp3DOqImAioeLfVdv6_gqcDlayInDnwuNil8dRuhaXHdpbBqBYplZdJMTwcto3NiyTCNY,20,0.00040513,4.4077777777777785,4.250277777777778,51.88944444444444,51.825,11131303603
5,georeferenced,40.600035,-77.823075,40.26965,-78.135481,39.939265,-78.447887,2014-07-17 16:04:00,2014-07-17,Coal iron and oil or the practical american miner a plain and popular work on our mines and mineral resources with numerous maps and engravings etc,TFvFltJnEh9N0SkIdKMS9m/201407171604-HIgJtp,Map of the broad top coalfield,"POLYGON((-78.094022 39.939265, -77.823075 40.443275, -78.176940 40.600035, -78.447887 40.096025))",flickr,http://lh3.ggpht.com/GM4eU-CljROQTb96SzXqPzLKVcFaL8et5LoONk5jmhMrdh3XYztJIG93TdV4zS00WoHuBQvjMZLi9k1YSc95iOpbbHw,6,0.01344501,78.44777777777779,77.82305555555556,40.6,39.939166666666665,11071857986
6,georeferenced,74.062639,64.868069,51.298332,23.075677,28.534026,-18.716715,2014-07-09 15:21:00,2014-07-09,Modern geography a description of the empires states and colonies with the oceans seas and islands in all parts of the world the astronomical introduction by the rev s vince with numerous maps,vysbx3PgEYr3zcAQAJCJ1F/201407091521-gaGg0m,Map of europe,"POLYGON((64.868069 74.062639, -17.224271 70.145175, -18.716715 28.534026, 63.375625 32.451490))",flickr,http://lh3.ggpht.com/QSc8jV-PgMajEEmlqOeN6I5xPCXVvONyvfB4kC_FXtkPQI9JHLWOClLs1JB9laHw8E7uu7U4zrYt6EnxYhxV-4kY1m0,8,4.530248879,18.716666666666665,64.86805555555554,74.0625,28.53388888888889,10998973563
7,georeferenced,35.747975,139.832348,35.687947,139.772512,35.627919,139.712676,2014-08-08 05:59:00,2014-08-08,Japan travels and researches translated from the german etc,r7uDj98zY3JkbbJN8U05Rv/201408080559-Bolewb,Plan of tokio,"POLYGON((139.749214 35.747975, 139.712676 35.643725, 139.795810 35.627919, 139.832348 35.732168))",flickr,http://lh6.ggpht.com/dyMFw52kJ6eoGVpeogBzGF6jlv_eX54qy9RbyftMCdxtrEe3gjai21DVb5_x01cEiCF7HV4moznsaO7ZBOqkEZ3Vg02G,7,0.001368486,139.71249999999998,139.8322222222222,35.74777777777778,35.62777777777778,11169578144
8,georeferenced,65.78959,45.868633,49.320103,15.561097,32.850615,-14.746439,2014-07-09 11:14:00,2014-07-09,Maps and tables of chronology and genealogy selected and translated from monsieur kochs tableau des revolutions de leurope by c t l ie charles thomas longley afterwards archbishop of york,XIdNdg5k9eSoSb7M96WKNj/201407091114-wy35aG,Europe about the year 1074,"POLYGON((45.868633 65.789590, -11.993061 65.717967, -14.746439 32.850615, 43.115255 32.922238))",flickr,http://lh6.ggpht.com/i-P2PSX2p9tGT_5R0RklRi4JKkbNWqvuxM0u8O35tzm3mgtpKut51SbUR4z92cq3pd6PP8dPHeEwCAmBiKbzZJoz3PU,6,2.159293967,14.746388888888887,45.868611111111115,65.78944444444444,32.85055555555556,11008308654
9,georeferenced,33.166589,35.703713,32.774688,35.267078,32.382786,34.830443,2014-07-18 15:23:00,2014-07-18,Eastward a visit to egypt and the holy land with illustrations from photographs engraved by j swain,SeT49wUsAdtAUChFHrtZAA/201407181523-JjSmka,Plain of esdraelon and galilee,"POLYGON((34.889712 33.166589, 34.830443 32.404527, 35.644444 32.382786, 35.703713 33.144849))",flickr,http://lh3.ggpht.com/kxToD7Iz_2Ke2hty2AGavg49fIkIPRzrpx39qxbfTvhKtq4ndqbVWBUd0my28U5Ylym-wsyXwnZ-_oNTkDN6WZLxgQ,10,0.018561064,34.83027777777778,35.703611111111115,33.16638888888889,32.382777777777775,11072416203
10,georeferenced,52.482992,-1.893546,52.481984,-1.895021,52.480976,-1.896496,2014-07-17 16:32:00,2014-07-17,Memorials of the old square being some notices of the priory of st thomas in birmingham also of the square built upon the priory close etc with illustrations lp,ON7ttxdmrt12tMAOuHRFFF/201407171632-laMNjA,The old square 1797 and 1897,"POLYGON((-1.895791 52.482992, -1.896496 52.481228, -1.894251 52.480976, -1.893546 52.482740))",flickr,http://lh4.ggpht.com/S0d6qLXuDOVIPSDn_dlgv7Ke6BjeQDH8FOSvA5s39sycVoWrnM1Z_9xdsylLwEMKY0J3Y2YicvjO0Vwlk0FtDUoCqRU,7,3.11324e-05,1.896388888888889,1.8933333333333333,52.48277777777778,52.48083333333334,11239466154
11,georeferenced,73.956966,22.973334,5.384904,-39.130051,-63.187157,-101.233436,2014-07-10 06:31:00,2014-07-10,The students geography with maps etc,6vXKj1FX5SdyKnKofSQB5m/201407100631-tWZMzQ,The trade routes of the atlantic ocean,"POLYGON((-101.233436 73.956966, -99.789623 -62.579219, 22.973334 -63.187157, 21.529521 73.349027))",flickr,http://lh3.ggpht.com/7M7DFrPCc2ftJWA51ecrGJqO9qww2ZxpFCspOnheIuwBHfIxmIGin6VPOjZK208QMI4_SdN0KzTrPO4JKWrA26O8tg,29,3.163682578,101.23333333333333,22.973333333333333,73.95694444444445,63.18694444444444,11205506455
12,georeferenced,38.609703,14.263654,32.810564,1.06853,27.011424,-12.126594,2014-07-18 16:42:00,2014-07-18,A voyage to barbary for the redemption of captives performed in 1720 by the mathurintrinitarian fathers fran comelin philemon de la motte and jos bernard now first englished by j morgan from the french original of p de la motte with lists of slaves ransomed from mequeniz also very exact draughts of that place alcasar oran and its neighbourhood with maps etc,6HW47bwGrDHuhdACzI6glg/201407181642-NXdr2v,A map of the kingdoms of barbary,"POLYGON((-9.402508 38.297697, -12.126594 27.011424, 11.539567 27.323431, 14.263654 38.609703))",flickr,http://lh4.ggpht.com/1uiLaBw9Vs0hfDDLGxSm3RXFCZefo-C0sscUoVLECTiwXdhMx525KKmGS52oDSHSqGlqB1Fh2RZjly0oiZY2fE2dEQ,32,0.594304661,12.12638888888889,14.26361111111111,38.60944444444445,27.011388888888888,11011423824
13,georeferenced,53.22924,-91.690876,37.17095,-109.988373,21.112661,-128.285871,2014-07-18 16:53:00,2014-07-18,Elements of geography with illustrations,4z4HetxD1Xbm3g7wA3Xg5p/201407181653-V8M7Pd,Map of united states,"POLYGON((-128.285871 49.439862, -123.169300 21.112661, -91.690876 24.902039, -96.807447 53.229240))",flickr,http://lh6.ggpht.com/eeRznVGDRshMWO-msQPqhJ8widF9vwGyVtyYMU5yvVC7cXheMqMWUEVeXDu-23iHdiOmp22q4nXc3y0HtZ1gTH69MQyz,14,1.27304074,128.28583333333333,91.69083333333333,53.22916666666667,21.1125,11245009816
14,georeferenced,55.719441,13.935146,50.570672,8.26629,45.421902,2.597435,2014-07-18 16:26:00,2014-07-18,Voyage aux pays annexes suite et fin du voyage au pays des milliards,Fto6SSjqzLxhzC5SlxPKzP/201407181626-dGpvug,Empire dallemagne empire of germany,"POLYGON((2.597435 54.874585, 3.929566 45.421902, 13.935146 46.266758, 12.603014 55.719441))",flickr,http://lh3.ggpht.com/HKh4aGr9RZ7ILZSfAA21hfAmpXU7yd6XwZ8-M7YKfxDlXXqXuV87xMCo9y6zQhi-s_NFRHZV4B7hZJbaFOsM-M3hv3E,7,0.082883825,2.5972222222222223,13.935,55.719166666666666,45.42166666666667,11132437543
15,georeferenced,48.645655,17.401695,45.102933,12.161396,41.560211,6.921097,2014-07-09 12:44:00,2014-07-09,Bibliothek geographischer handbucher herausgegeben von f ratzel,FOlLnbiu33Jcp1Yyod8kZf/201407091244-T24vjH,Map of italy,"POLYGON((7.137726 48.590303, 6.921097 41.560211, 17.185065 41.615562, 17.401695 48.645655))",flickr,http://lh6.ggpht.com/vgJUBGXuF-9jQwx2ByLRy2qn53gARCahqzTrxAE0mCsyJc_G4rJCUDnKBe0DVrczhJZk5UEdvkeAhwXoPFKcQVabuZsZ,10,0.184350712,6.920833333333333,17.401666666666664,48.64555555555555,41.559999999999995,11306803123
16,georeferenced,49.405519,64.618725,2.247405,20.601336,-44.910708,-23.416052,2014-07-18 16:47:00,2014-07-18,The story of africa and its explorers with plates and maps,K0enRV79TIu51nqVcWYn1y/201407181647-bQ4b3W,Map showing distribution of languages in africa,"POLYGON((-23.416052 47.992720, -21.802566 -44.910708, 64.618725 -43.497910, 63.005239 49.405519))",flickr,http://lh3.ggpht.com/nzY2hSpiUwXoOzd7EUYofZQjnQIcXX31FWG671HMIYkelUSohxY1e-LWTvm2DsnznesWbJV2Cn0znJM3ASugfwpws9du,6,1.652159089,23.41583333333333,64.61861111111111,49.405277777777776,44.910555555555554,11238081434
17,georeferenced,58.998941,-1.786061,56.795841,-4.482874,54.592741,-7.179688,2014-07-09 13:54:00,2014-07-09,Pitmans commercial geography of the world,y4dCvkAzc2Uj2Lf0c33JDx/201407091354-EdQVKD,Scottish railways,"POLYGON((-7.107497 58.998941, -7.179688 54.600400, -1.858252 54.592741, -1.786061 58.991281))",flickr,http://lh6.ggpht.com/BxWpYmI13oChrvYuiKrimae3MZdoFwp-s_UQTZbqNe9iGIbBIFyDB-iwVYP4lmDpRT5LRiT5gGCAQ15U9HgMIlCU8go,12,0.059077392,7.179444444444445,1.7858333333333332,58.99888888888889,54.5925,11246467465
18,georeferenced,48.954087,2.49695,48.878404,2.344521,48.802721,2.192092,2014-07-09 14:09:00,2014-07-09,France militaire histoire des armees francaises de terre et de mer de 1792 a 1833 ouvrage redige par une societe de militaires et de gens de lettres dapres les bulletins des armees le moniteur les documents officiels revu et publie par a h with illustrations,8FdDe3FYF9SZC4Zwbs3N5z/201407091409-pg6Zrv,Defense de paris 30 mars 1814,"POLYGON((2.494723 48.954087, 2.192092 48.949880, 2.194319 48.802721, 2.496950 48.806928))",flickr,http://lh5.ggpht.com/nn05DwUDLRJdn90ZJzqduAYBEhfhGFRlXyDpwRvFU7vEk9OxNrMiq2-qKJ3fMHYLa-djWUppfr8BP6hXWdQQBLRVpQ,7,0.003315475,2.1919444444444443,2.4969444444444444,48.95388888888889,48.802499999999995,11008789995
19,georeferenced,62.690787,-50.130176,42.32722,-90.759225,21.963654,-131.388275,2014-07-19 15:21:00,2014-07-19,A history of the united states for schools with topical analysis suggestive questions by f a hill with maps,ek8fs1LyCdoDaUjVKWJvfA/201407191521-e0Ss7X,North america after the peace of 1763,"POLYGON((-131.388275 62.470033, -130.774759 21.963654, -50.130176 22.184407, -50.743691 62.690787))",flickr,http://lh5.ggpht.com/BEoZFiZhpB0sPnYjxgx4hQEv1oHAtV-z8pGOp6TRajIZiT2iSINDw-8SoylaI8BtYWjXpjzJTkJEZisOnoMJzA9CHhw,19,3.930117258,131.38805555555555,50.13,62.690555555555555,21.96361111111111,11130420634
20,georeferenced,52.008622,8.102311,46.799627,1.465595,41.590632,-5.171121,2014-07-09 12:46:00,2014-07-09,Histoire de lunite politique et territoriale de la france,557rGfLe8UyF8QHB11hyAv/201407091246-ku5Id4,Map of france,"POLYGON((-5.171121 51.920475, -4.525920 41.590632, 8.102311 41.678779, 7.457110 52.008622))",flickr,http://lh4.ggpht.com/LQv9UTga3FF4EDTVBh6aszrf0odpt4EaCg-elNZInidFEnjjYgFSPNZUCIE_XKzPjbQOH8cmDsU9mul-QyYOo1BnKw,11,0.18803903,5.171111111111111,8.102222222222222,52.00861111111111,41.59055555555556,11131622993
21,georeferenced,37.489685,-76.02463,37.064573,-76.541629,36.639461,-77.058629,2014-07-18 17:05:00,2014-07-18,The making of virginia and the middle colonies 15781701 with many illustrations and maps,ppFqV6dKI6IZ9HOHyWWBxZ/201407181705-QpDEyC,Lower james settlements,"POLYGON((-77.058629 37.076130, -76.236683 36.639461, -76.024630 37.053015, -76.846576 37.489685))",flickr,http://lh4.ggpht.com/7cn-L137fPfrCH8tSc6dE6WNNfGXZ_uCIyXp7D_sK2OVUHL7yDmYNPDzfuAr8LCAHaBGzrsgrc_Sp6EuqdBh0PmS1sM5,10,0.009193741,77.0586111111111,76.02444444444444,37.489444444444445,36.63944444444444,11130235056
22,georeferenced,53.237976,-1.529486,52.778588,-2.03389,52.3192,-2.538293,2014-07-09 12:46:00,2014-07-09,A topographical dictionary of the united kingdom accompanied by fortysix maps etc,J3HY6T4E31Qv9UmfRcizwH/201407091246-Yv7Wuy,Map staffordshire,"POLYGON((-2.443908 53.237976, -2.538293 52.356244, -1.623871 52.319200, -1.529486 53.200932))",flickr,http://lh3.ggpht.com/mCpW0Jx2NOKgjG2IYPiR857FR-IbpFXPyj9WVvzsJX5XU1Y2JoWM8f69pGktvBIV2Cj-qpuAoWlbzYaDxe6BdOX0jg,17,0.008580983,2.5380555555555553,1.5294444444444444,53.23777777777778,52.31916666666667,11002586564
23,georeferenced,40.871244,14.254452,40.847741,14.233424,40.824238,14.212395,2014-07-19 13:33:00,2014-07-19,Appletons european guide book illustrated including england scotland and ireland france belgium holland northern and southern germany switzerland italy spain and portugal russia denmark norway and sweden containing maps etc,N8f12kHp1T4R2E60aEM3Xe/201407191333-WCyh9W,Map of naples,"POLYGON((14.212948 40.871224, 14.212395 40.824238, 14.253899 40.824258, 14.254452 40.871244))",flickr,http://lh3.ggpht.com/tjdbSEec-v1bTm9fpgBrJucaxuMop_4yQk61UN_LlM0eO7W1wHQPjNNSzXBDKm1CUCJn990PEt5AElOwu8biEFyIO7U,34,0.0003233,14.212222222222222,14.254444444444445,40.87111111111111,40.82416666666667,11131561124
24,georeferenced,41.26512,-71.766394,40.86682,-72.975473,40.46852,-74.184552,2014-07-21 16:16:00,2014-07-21,The making of virginia and the middle colonies 15781701 with many illustrations and maps,6ks9IBpmBVsmFxdzQbIjMl/201407211616-Y6U4fx,Long island settlements,"POLYGON((-74.006095 41.188155, -74.184552 40.468520, -71.944852 40.545485, -71.766394 41.265120))",flickr,http://lh4.ggpht.com/M86LH9Y9v0MG6iAGmAleGcc5vxBJUeCf3khv9wNmqY6B4MhagAsdygltfJvohQko68SoFx3_LNH9EoOaAO9C3aQ8jJ4,7,0.032492965,74.18444444444445,71.76638888888888,41.265,40.468333333333334,11130733073
25,georeferenced,45.591299,12.658421,45.070766,12.084633,44.550232,11.510845,2014-07-09 14:16:00,2014-07-09,Rome et litalie souvenirs du pelerinage national a loccasion du jubile episcopal de leon xiii etc,DiBoUBqy3VOEnQ5KJbIyIz/201407091416-DxnkyO,Map of italy,"POLYGON((11.510845 45.575459, 11.514978 44.550232, 12.658421 44.566072, 12.654288 45.591299))",flickr,http://lh5.ggpht.com/Is7h3w51JbpQ9i8Nox25TFJrEY8z2NAKzGBqPdE5pqt01Uoj5bpPKR1bpUHTlH6pbEcujyKJ9xoPc-L9MM8pKMZfljaJ,10,0.010099505,11.510833333333334,12.658333333333333,45.59111111111111,44.55,11133046564
26,georeferenced,7.272631,81.998308,6.125826,81.570813,4.97902,81.143319,2014-07-09 14:26:00,2014-07-09,Sailing directions for the principal ports in the bay of bengal with remarks upon the winds and currents and special instructions for making passages up and down the bay with maps,I5hvjvQlkyQa2MlnmBtw9d/201407091426-Dqmo62,Map of sri lanka,"POLYGON((81.359776 7.272631, 81.143319 5.664413, 81.781850 4.979020, 81.998308 6.587238))",flickr,http://lh3.ggpht.com/bfDtEUQBZhQOHpWyOu1OB3VA22dPtAYCSyjTzsBnLn9aAgYpm92X6siPM3arKbunmHa5hTtkBtitYlaUg5hfm5lPPZY3,6,0.02004465,81.14305555555556,81.99805555555555,7.2725,4.978888888888889,11071806884
27,georeferenced,57.898442,92.508892,27.543916,36.26758,-2.81061,-19.973733,2014-07-19 15:32:00,2014-07-19,The angloindian passage homeward and outward or a card for the overland traveller from southampton to bombay madras and calcutta with letters descriptive of the homeward passage and notices of gibraltar malta etc,8Ih5UxkgWjq1J2kKWBINLI/201407191532-GwLlvU,Map from southampton to bombay madras and calcutta,"POLYGON((92.508892 57.898442, -19.864320 56.173824, -19.973733 -2.810610, 92.399479 -1.085992))",flickr,http://lh4.ggpht.com/GPleMKXFhcDHxVMu394vIPSZvjX5YOdTLe0SFpXZKJNFeg-SKucp0QzpfCqXyvPr_YOLVSO-Tjssag1T01zwuC8RnGwq,7,0.837463113,19.973611111111108,92.50888888888889,57.89833333333333,2.8105555555555553,11030481015
28,georeferenced,55.672554,-95.374069,51.877566,-106.502673,48.082579,-117.631276,2014-07-19 14:48:00,2014-07-19,Gunner jingos jubilee,gfpKfexrf3pZ2n0ACNP2FH/201407191448-qUOJ4i,Map of part of dominion of canada,"POLYGON((-95.374069 55.672554, -117.256716 55.459269, -117.631276 48.082579, -95.748630 48.295864))",flickr,http://lh3.ggpht.com/D1y6yaLHgVpHpRMwod5k-IoB1HDYhv5vfWo7liQtRhQz_IW8egJ9ymKJc7O8A6NBPh40AzpHSr-_Y1_GJQw9slM5Yo8,9,0.227091704,117.63111111111111,95.37388888888889,55.6725,48.0825,11223671694
29,georeferenced,51.566303,-0.06461,51.545032,-0.103094,51.523762,-0.141578,2014-07-09 17:12:00,2014-07-09,The history topography and antiquities of the parish of st mary islington in the county of middlesex,07rmnk5hOXIgjrYrYYEDZ1/201407091712-S4KnCQ,Map of islington in the city of london,"POLYGON((-0.081148 51.566303, -0.141578 51.552926, -0.125040 51.523762, -0.064610 51.537138))",flickr,http://lh6.ggpht.com/7RgFLFG15xoWur1XtYBByn3P5l8XDDFdG_wBizl96j2A_-GWLdUgJTuukrcqKsyAxLohg_CiUZMk1Iysa7OqRFs8j_w,5,0.000193603,0.1413888888888889,0.06444444444444444,51.566111111111105,51.52361111111111,11002344333
30,georeferenced,45.696171,16.216937,44.564168,15.032818,43.432165,13.8487,2014-07-21 17:35:00,2014-07-21,Memorie per la storia della liburnica citta di fiume etc,mY2daFXKgkOGy0GCp2fOyA/201407211735-OYXvjw,Forma libvrniae romanae,"POLYGON((13.848700 45.688952, 14.002191 43.432165, 16.216937 43.439384, 16.063446 45.696171))",flickr,http://lh4.ggpht.com/eWhrxLeQibQn8mLVEzsQe0jSPFU7cMYr4f4pORCqWBc-4ACWaeeCgZOZaN0K_PQCpkqmFN5kFNJsqXWlTJZT2PwxgQ,21,0.020609032,13.848611111111111,16.216666666666665,45.69611111111111,43.43194444444444,11235649203
